ImageNumber,ObjectNumber,FileName_DNA,FileName_OverlayObjects,PathName_DNA,PathName_OverlayObjects,Children_FillObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
29,13,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,262.1295206055509,298.7560975609756,0,13
29,14,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,388.7145085803432,313.68096723868956,0,14
29,15,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,210.16170212765957,324.62978723404257,0,15
29,16,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,113.0019831432821,332.8130887456619,0,16
29,17,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,456.2150661299597,339.24209315698675,0,17
29,18,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,407.5009225092251,350.66974169741695,0,18
29,19,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,287.87021981330923,418.9298404095152,0,19
29,20,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,120.37578781512605,444.53597689075633,0,20
30,1,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F01_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F01_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,54.48802642444261,36.94715111478117,0,1
30,2,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F01_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F01_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,411.4746873138773,51.9630732578916,0,2
30,3,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F01_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F01_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,79.12948381452318,85.4251968503937,0,3
30,4,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F01_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F01_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,89.16707818930041,186.04444444444445,0,4
