ImageNumber,ObjectNumber,Children_FillObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
33,18,1,285.31977559607293,440.83496961196823,0,18
33,19,1,74.33725667722952,468.0887279311906,0,19
34,1,1,315.7916219119227,49.93018259935553,0,1
34,2,1,170.35041716328962,47.160905840286055,0,2
34,3,1,380.70364238410593,85.90507726269315,0,3
34,4,1,88.33628318584071,101.94690265486726,0,4
34,5,1,348.5204081632653,129.35799319727892,0,5
34,6,1,147.4311377245509,129.63098802395209,0,6
34,7,1,66.51343429408891,146.09868099658036,0,7
34,8,1,434.70052539404554,154.4970227670753,0,8
34,9,1,226.7457396046353,182.4393319700068,0,9
34,10,1,354.9426180514047,207.18708906156604,0,10
34,11,1,467.5579240037071,257.4865616311399,0,11
34,12,1,263.5,276.5,0,12
34,13,1,177.0919908466819,279.27597254004576,0,13
34,14,1,260.0940484937546,289.39860396767085,0,14
34,15,1,98.2648930017351,330.3556969346443,0,15
34,16,1,209.6138211382114,341.5853658536585,0,16
34,17,1,180.32938388625593,391.46445497630333,0,17
34,18,1,416.0272727272727,422.09685314685316,0,18
34,19,1,323.14560161779576,416.14762386248736,0,19
34,20,1,318.95311638168783,475.77054605626034,0,20
35,1,1,315.54292722812755,54.54619787408013,0,1
35,2,1,168.81809385582972,69.07256894049347,0,2
35,3,1,44.0,88.0,0,3
35,4,1,69.58264887063655,87.43121149897331,0,4
35,5,1,127.84159292035399,136.57345132743362,0,5
35,6,1,227.46879756468797,173.07407407407408,0,6
35,7,1,321.6753246753247,184.51489686783805,0,7
35,8,1,144.63194444444446,205.9911616161616,0,8
35,9,1,411.6875,219.35416666666666,0,9
35,10,1,467.84351464435144,217.70292887029288,0,10
35,11,1,25.949006622516556,266.7609271523179,0,11
35,12,1,128.5,291.5,0,12
35,13,1,149.97323759791124,292.95496083550916,0,13
35,14,1,69.12934916086779,343.2095783872288,0,14
35,15,1,232.85115431348723,413.7010935601458,0,15
35,16,1,164.53252032520325,461.12466124661245,0,16
36,1,1,479.2816593886463,25.247816593886462,0,1
36,2,1,68.91323076923076,43.74584615384615,0,2
36,3,1,320.9202702702703,50.545945945945945,0,3
36,4,1,162.45183003786286,54.00967606226336,0,4
36,5,1,436.23643410852713,115.82751937984496,0,5
36,6,1,396.7404974190521,191.72360394181135,0,6
36,7,1,171.26043737574554,204.94831013916502,0,7
36,8,1,270.88572433192684,205.05450070323488,0,8
36,9,1,439.0,248.0,0,9
36,10,1,456.58448540706604,265.994623655914,0,10
36,11,1,159.9565548780488,273.5663109756098,0,11
36,12,1,82.0140921409214,284.64769647696477,0,12
36,13,1,103.0,278.0,0,13
